newsNo,title,signature
24,Sin Rastro de Madrid,Víctor Honorato
25,Los festivales de cine afrontan un momento álgido en un año con salas cerradas y la ventana online saturada,Ignasi Franch
26,Tras las huellas de la Guerra Civil en Aragón: una ruta por el Frente de los Monegros,Miguel Barluenga — Huesca
27,"Cómo multiplicar tus plantas de interior gratis, aunque no sepas nada de jardinería",Eva San Martín
28,Vueling cobrará por llevar la maleta de mano en cabina en su tarifa básica,Economía
29,Los bancos exigen cada vez más vinculación a sus clientes para poder esquivar las comisiones en sus cuentas,Diego Larrouy
30,"Oxfam Intermón cree que ""algo está cambiando"" entre las empresas del Ibex y aplaude su respuesta a la COVID-19",Antonio M. Vélez
31,El Gobierno elige a Paula Conthe como presidenta del FROB en sustitución de Jaime Ponce,Diego Larrouy
32,La CNMV exige a PharmaMar más detalles sobre los resultados del ensayo clínico del fármaco Aplidin contra la COVID,Economía
33,El Congreso de Perú destituye al presidente Martín Vizcarra por corrupción,
34,Azerbaiyán y Armenia acuerdan poner fin a la guerra en Nagorno Karabaj,
35,Trump cesa a su secretario de Defensa mientras sigue sin reconocer su derrota,
36,Pandemia y elecciones,Ferran Martínez i Coma
37,El profesor condenado por abusos sexuales en el colegio Gaztelueta del Opus Dei elude la entrada en la cárcel,Iker Rioja Andueza
38,El recorte en las subvenciones de Memoria Histórica de Andalucía deja fuera proyectos de 46 ayuntamientos y la Universidad de Cádiz,Juan Miguel Baquero
39,Interior reactiva las expulsiones desde Canarias y deporta a 22 migrantes a Mauritania,Natalia G. Vargas — Las Palmas de Gran Canaria
40,Un hombre mata a su pareja en Lloret de Mar y se entrega a la policía,elDiario.es Catalunya
41,Una jueza de A Coruña decide inventariar los bienes de Meirás y prohíbe a los Franco retirar nada del pazo,elDiario.es Galicia
42,Nueve razones para poner una ramita de perejil en tus platos,Jordi Sabaté
43,La Fiscalía investiga la filtración de una conversación privada de Rufián del caso Voloh,elDiario.es Catalunya — Barcelona
44,Madrid admite que mantiene cerradas 16 UCI en el hospital Infanta Sofía,Fátima Caballero
45,"Cuentas en Suiza, donaciones millonarias y tarjetas opacas: 300.000 euros de sueldo no fue suficiente para los anteriores reyes",Elena Herrera
46,La anulación de la venta de 3.000 pisos a Goldman Sachs augura un nuevo pleito: Díaz Ayuso se niega a que el fondo los devuelva,Laura Galaup
47,"Reinterpretar la Bauhaus: hacia un futuro europeo más humano, ecológico y justo","Marcos Ros Sempere — Eurodiputado del PSOE, Grupo S&D. Arquitecto y profesor de Urbanística en la Universidad Politécnica de Cartagena"
48,"'Carmen de Mairena: Una vida trepidante por detrás y por delante', la biografía de un icono de la supervivencia",Carmen López
49,La generación pandémica de la cultura: librerías y cines nacidos en plena crisis se juegan su futuro,Rocío Niebla
50,El cine recupera clásicos de grandes escritoras con más feminismo y menos amor romántico,Berta Gómez
51,"Suso de Toro: ""España tenía que haber sido catalanizada, pero España es Madrid y Madrid no se deja catalanizar""",Daniel Salgado
52,¿Se puede dejar la herencia a personas que no sean de la familia?,Jordi Sabaté
53,Alopecia femenina: ¿por qué a muchas mujeres se les cae el pelo?,Cristian Vázquez
54,Azúcar fantasma: diez alimentos que lo tienen y no lo sospechas,Jordi Sabaté
55,"Las virtudes nutricionales de la calabaza, la hortaliza reina del otoño",Jordi Sabaté
56,"Elsa Ruiz, del adiós a Risto a su nueva comedia: ""No creo que la transfobia se repliegue de los medios, es más ruidosa""",Lorenzo Ayuso
57,'Patria' se despide con un final que apuñala tras diluirse tristemente su impacto inicial,M. Méndez
58,"Ana Obregón, la sorpresa de TVE para sus Campanadas junto a Anne Igartiburu",
59,"'Industry', una serie común sobre una etapa con pocos referentes en drama",Laura Pérez Latorre
60,"Una psicóloga de 'Viva la vida' se disculpa por llamar ""travesti"" a La Veneno en Telecinco",
61,Consigue el mejor pack de periodismo independiente: 1 año de elDiario.es y la revista Mongolia,
62,elDiario.es ofrece a pymes y cooperativas contratar publicidad desde 500 euros,elDiario.es
63,Fiscalizar la monarquía en tiempos de periodismo cortesano: debate entre Ignacio Escolar y Neus Tomàs,
